round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
27,1,0.70043,0.70599,0.70057,0.69849,0.70043,0.70043,0.70043,0.18291,0.05982,0.1087,0.12019,0.29137,0.47428,0.5727,0.63252,0.34798,0.45668,0.54106,0.66125
27,2,0.68579,0.69108,0.68564,0.68349,0.68579,0.68579,0.68579,0.25767,0.10583,0.14999,0.12111,0.40476,0.66243,0.68762,0.79345,0.48655,0.63654,0.69106,0.81217
27,3,0.70079,0.70512,0.70091,0.69928,0.70079,0.70079,0.70079,0.19349,0.07169,0.11256,0.12157,0.29349,0.48699,0.57333,0.64502,0.35496,0.46752,0.55,0.67157
27,4,0.58586,0.68579,0.58523,0.5207,0.58586,0.58586,0.58586,0.23318,0.08097,0.06559,0.03396,0.70533,0.93851,0.89016,0.97112,0.82509,0.89068,0.93089,0.96485
27,5,0.50021,0.44258,0.49936,0.33532,0.50021,0.50021,0.50021,0.00108,-0.00032,0.00014,0.00036,0.99646,0.99754,0.99683,0.99651,0.99713,0.99726,0.99634,0.9967
27,6,0.52771,0.67897,0.52692,0.39975,0.52771,0.52771,0.52771,0.08014,0.02349,0.01742,0.00991,0.905,0.98514,0.96952,0.99301,0.9495,0.96692,0.9813,0.99121
27,7,0.50643,0.62684,0.50559,0.35072,0.50643,0.50643,0.50643,0.02494,0.00593,0.00652,0.0027,0.97148,0.99641,0.98984,0.99577,0.9846,0.99113,0.99268,0.99539
27,8,0.51907,0.67512,0.51826,0.37965,0.51907,0.51907,0.51907,0.05965,0.01681,0.01056,0.00435,0.93164,0.99129,0.97841,0.99522,0.96633,0.97689,0.98862,0.99297
27,9,0.65086,0.68592,0.65048,0.63324,0.65086,0.65086,0.65086,0.29694,0.12848,0.15294,0.10303,0.51132,0.80826,0.76889,0.89737,0.61856,0.7715,0.80163,0.90466
28,0,0.64007,0.69904,0.64054,0.61172,0.64007,0.64007,0.64007,0.09474,0.02336,0.08284,0.12417,0.16289,0.25763,0.35111,0.37447,0.17491,0.25775,0.28862,0.41279
28,1,0.513,0.68407,0.51382,0.3672,0.513,0.513,0.513,0.00514,-0.00173,-0.00181,-0.00248,0.01556,0.0207,0.03429,0.03255,0.02032,0.01851,0.03455,0.03207
28,2,0.69636,0.69668,0.69632,0.69621,0.69636,0.69636,0.69636,0.23716,0.09829,0.13891,0.12587,0.3562,0.59336,0.64127,0.73956,0.43092,0.56983,0.63577,0.76164
28,3,0.53729,0.68665,0.53652,0.42026,0.53729,0.53729,0.53729,0.11372,0.03127,0.02544,0.01428,0.86917,0.98289,0.96063,0.99191,0.93184,0.95728,0.97561,0.98989
28,4,0.59221,0.68495,0.59161,0.53301,0.59221,0.59221,0.59221,0.26273,0.09826,0.07611,0.04182,0.67209,0.93482,0.87048,0.96873,0.80558,0.8817,0.91951,0.96134
28,5,0.516,0.66789,0.51518,0.37289,0.516,0.516,0.516,0.05473,0.01508,0.01048,0.00398,0.93871,0.99344,0.98032,0.9954,0.97003,0.9805,0.98943,0.99341
28,6,0.64821,0.68815,0.64782,0.62814,0.64821,0.64821,0.64821,0.31489,0.13963,0.14613,0.09862,0.51202,0.82691,0.77079,0.91043,0.63621,0.78234,0.81504,0.91366
28,7,0.55157,0.69014,0.5523,0.4528,0.55157,0.55157,0.55157,0.02541,-0.00227,0.02892,0.05146,0.05658,0.08198,0.12825,0.12599,0.05543,0.08435,0.09309,0.14455
28,8,0.5255,0.67899,0.5247,0.39455,0.5255,0.5255,0.5255,0.0809,0.02414,0.01785,0.00916,0.90783,0.98873,0.97016,0.9943,0.95258,0.97042,0.98293,0.99209
28,9,0.56486,0.68708,0.56416,0.4789,0.56486,0.56486,0.56486,0.18643,0.05954,0.04617,0.02353,0.77534,0.96177,0.92317,0.98271,0.87518,0.92135,0.95407,0.97759
29,0,0.51036,0.69021,0.51119,0.36039,0.51036,0.51036,0.51036,0.00485,9e-05,-0.00355,-0.00551,0.01155,0.0164,0.02603,0.02612,0.01724,0.01369,0.02967,0.02417
29,1,0.66607,0.70625,0.66645,0.64928,0.66607,0.66607,0.66607,0.13234,0.05754,0.09811,0.13992,0.18812,0.32046,0.4019,0.45944,0.21638,0.31449,0.35569,0.49561
29,2,0.50214,0.56693,0.50129,0.3397,0.50214,0.50214,0.50214,0.00825,0.00031,0.00231,0.00077,0.98939,0.99764,0.99619,0.99651,0.99364,0.99595,0.99593,0.9967
29,3,0.635,0.69887,0.63548,0.6036,0.635,0.635,0.635,0.10672,0.05398,0.08484,0.13231,0.14333,0.25005,0.31111,0.36509,0.16239,0.24723,0.26707,0.39938
29,4,0.50029,0.44473,0.49943,0.33523,0.50029,0.50029,0.50029,0.00138,5e-05,0.00015,0.0008,0.99646,0.99785,0.99683,0.99687,0.99733,0.99748,0.99634,0.99714
29,5,0.54521,0.685,0.54447,0.43808,0.54521,0.54521,0.54521,0.14361,0.04322,0.03344,0.01893,0.83569,0.9793,0.94667,0.98988,0.91398,0.94742,0.96789,0.98682
29,6,0.513,0.67882,0.51382,0.36765,0.513,0.513,0.513,0.01104,0.01129,0.00221,0.00404,0.01202,0.02306,0.02476,0.03605,0.01827,0.02048,0.03089,0.03493
29,7,0.50329,0.60223,0.50244,0.3422,0.50329,0.50329,0.50329,0.01168,0.00031,0.00276,0.00077,0.98586,0.99754,0.99619,0.99651,0.9922,0.99496,0.99593,0.9967
29,8,0.62664,0.69663,0.62715,0.59069,0.62664,0.62664,0.62664,0.09004,0.03137,0.07958,0.12406,0.14003,0.23007,0.3054,0.33677,0.15089,0.23047,0.24919,0.37324
29,9,0.61929,0.69611,0.61982,0.57852,0.61929,0.61929,0.61929,0.08222,0.02761,0.07381,0.1184,0.13083,0.21306,0.28635,0.31396,0.14001,0.21382,0.23089,0.3493
30,0,0.70107,0.70108,0.70108,0.70107,0.70107,0.70107,0.70107,0.24365,0.10949,0.14115,0.13629,0.32768,0.57133,0.61333,0.72283,0.40546,0.54661,0.60976,0.74605
30,1,0.68671,0.69391,0.68655,0.68366,0.68671,0.68671,0.68671,0.30551,0.1476,0.1587,0.13325,0.38449,0.69,0.66921,0.81681,0.49394,0.65265,0.69715,0.8304
30,2,0.53914,0.68829,0.53838,0.42407,0.53914,0.53914,0.53914,0.12262,0.03318,0.02791,0.01613,0.86068,0.9833,0.95873,0.99191,0.92794,0.95585,0.97398,0.99011
30,3,0.70307,0.70407,0.70313,0.70275,0.70307,0.70307,0.70307,0.25098,0.12728,0.1301,0.13549,0.29114,0.54212,0.57016,0.69744,0.38124,0.51134,0.58089,0.71639
30,4,0.57707,0.69001,0.57773,0.50414,0.57707,0.57707,0.57707,0.05058,0.01749,0.05047,0.08727,0.08039,0.13097,0.17968,0.19717,0.08273,0.1332,0.13659,0.22386
30,5,0.648,0.68906,0.6476,0.62742,0.648,0.648,0.648,0.35352,0.16569,0.14672,0.10173,0.48774,0.84126,0.75302,0.91871,0.63847,0.78519,0.81545,0.91718
30,6,0.682,0.70901,0.68231,0.67161,0.682,0.682,0.682,0.164,0.08243,0.10672,0.14344,0.20698,0.37098,0.43937,0.5218,0.25169,0.35842,0.41016,0.5536
30,7,0.68707,0.69352,0.68691,0.68433,0.68707,0.68707,0.68707,0.31075,0.15627,0.15942,0.13351,0.37577,0.68651,0.65778,0.81405,0.4884,0.64783,0.69228,0.82579
30,8,0.59129,0.69149,0.5919,0.53054,0.59129,0.59129,0.59129,0.06002,0.01564,0.06018,0.09812,0.0976,0.15761,0.21905,0.23469,0.10018,0.16037,0.16748,0.2656
30,9,0.52593,0.67867,0.52513,0.3956,0.52593,0.52593,0.52593,0.08732,0.02623,0.01927,0.00998,0.90264,0.98996,0.96825,0.99448,0.95093,0.9702,0.98211,0.99209
31,0,0.70179,0.70621,0.70191,0.70026,0.70179,0.70179,0.70179,0.22074,0.10336,0.1205,0.13476,0.27393,0.49467,0.54921,0.65257,0.34921,0.46971,0.54187,0.67663
31,1,0.55064,0.69135,0.55138,0.45057,0.55064,0.55064,0.55064,0.02839,0.00552,0.02942,0.05083,0.05257,0.08096,0.11937,0.12489,0.05317,0.08259,0.09065,0.14148
31,2,0.62179,0.68485,0.62128,0.58598,0.62179,0.62179,0.62179,0.34052,0.14576,0.11861,0.07148,0.55587,0.89639,0.80127,0.94703,0.71587,0.83448,0.86789,0.93937
31,3,0.6295,0.69835,0.63,0.5948,0.6295,0.6295,0.6295,0.11059,0.06767,0.08654,0.13416,0.12942,0.24001,0.28381,0.35148,0.15007,0.23661,0.24919,0.38335
31,4,0.69786,0.7092,0.69806,0.69384,0.69786,0.69786,0.69786,0.2159,0.12373,0.12129,0.15118,0.23409,0.44999,0.48635,0.61008,0.30548,0.42677,0.48415,0.63533
31,5,0.69479,0.69801,0.69467,0.69346,0.69479,0.69479,0.69479,0.30725,0.15873,0.15829,0.14202,0.35078,0.65802,0.63619,0.79492,0.46171,0.62,0.66707,0.80909
