round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
40,0,0.64321,0.70992,0.65092,0.61921,0.64321,0.64321,0.64321,0.14107,0.09099,0.14177,0.21482,0.13725,0.27832,0.31118,0.40216,0.14467,0.28644,0.24266,0.45748
40,1,0.6575,0.69539,0.66085,0.64285,0.6575,0.6575,0.6575,0.19023,0.1593,0.11199,0.15121,0.15886,0.34909,0.32641,0.48571,0.21677,0.32876,0.35098,0.50219
40,2,0.685,0.71128,0.68239,0.67292,0.685,0.685,0.685,0.21886,0.16875,0.13422,0.15439,0.16148,0.38035,0.36842,0.53717,0.22632,0.36054,0.39741,0.5518
40,3,0.59071,0.69755,0.58833,0.52374,0.59071,0.59071,0.59071,0.11088,0.12256,0.08147,0.14145,0.05036,0.16124,0.12081,0.24337,0.07477,0.15623,0.12284,0.26429
40,4,0.69393,0.69867,0.69305,0.69145,0.69393,0.69393,0.69393,0.28417,0.20526,0.13013,0.17287,0.21507,0.49924,0.45033,0.65559,0.33094,0.46107,0.50099,0.67386
40,5,0.6925,0.71564,0.68867,0.68121,0.6925,0.6925,0.6925,0.21252,0.14649,0.09134,0.16029,0.17402,0.38654,0.40196,0.54845,0.26456,0.3559,0.41618,0.57647
40,6,0.65143,0.68163,0.65258,0.63733,0.65143,0.65143,0.65143,0.37432,0.21529,0.16468,0.11758,0.43824,0.81256,0.68827,0.90356,0.59213,0.75682,0.77489,0.89247
40,7,0.63893,0.70571,0.6377,0.60586,0.63893,0.63893,0.63893,0.16044,0.14957,0.09034,0.13126,0.10128,0.26172,0.2362,0.38577,0.154,0.24435,0.26501,0.39627
40,8,0.52214,0.66324,0.52314,0.39237,0.52214,0.52214,0.52214,0.10116,0.04568,0.01472,0.00956,0.89269,0.99385,0.95066,0.99634,0.95372,0.96844,0.98031,0.98988
40,9,0.66464,0.70476,0.66666,0.64901,0.66464,0.66464,0.66464,0.19474,0.16682,0.09944,0.13949,0.15152,0.34625,0.32378,0.4906,0.21961,0.31906,0.35887,0.49836
41,0,0.51857,0.62368,0.50455,0.35377,0.51857,0.51857,0.51857,0.01495,0.00153,0.00385,0.00763,0.98039,0.99534,0.99396,0.99549,0.98827,0.99212,0.99022,0.99785
41,1,0.53036,0.70428,0.52296,0.39057,0.53036,0.53036,0.53036,0.07761,0.01115,0.01997,0.00542,0.91771,0.99532,0.98516,0.99631,0.95808,0.97805,0.9902,0.99561
41,2,0.53107,0.69337,0.53749,0.41735,0.53107,0.53107,0.53107,0.14036,0.05499,0.03104,0.00962,0.85048,0.99084,0.94408,0.99907,0.92842,0.95946,0.98056,0.99019
41,3,0.51,0.65657,0.50686,0.35339,0.51,0.51,0.51,0.01235,0.0186,0.00421,0.0011,0.0024,0.01475,0.00336,0.02196,0.00831,0.01252,0.01724,0.01834
41,4,0.69071,0.69093,0.69046,0.69042,0.69071,0.69071,0.69071,0.32977,0.21799,0.13094,0.16801,0.2418,0.57157,0.49669,0.71468,0.38934,0.52029,0.5604,0.72841
41,5,0.62893,0.67377,0.63428,0.60868,0.62893,0.62893,0.62893,0.42148,0.20623,0.10081,0.07929,0.44338,0.86486,0.71569,0.92192,0.67423,0.77504,0.82659,0.90588
41,6,0.57964,0.66368,0.58167,0.52055,0.57964,0.57964,0.57964,0.30402,0.16205,0.08834,0.06305,0.64133,0.94535,0.81173,0.97378,0.79607,0.88441,0.89394,0.95699
